language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,4693,0.4797587405438561,3681812909,0.07670447593793693,1653.8256396434801,0.3524,0.3994,0.1195,0.9999958168664255,7.774968163449112e-08
python,3613,0.36935187078307097,4781121668,0.09960675379321804,1347.109778697788,0.3729,0.4191,0.0996,0.9999966170634833,4.899992236452301e-07
c++,2015,0.2059905949703537,8441262588,0.1758597297229079,833.8751973118136,0.4138,0.3938,0.2859,0.9998500487341614,1.9775488874804347e-07
java,1726,0.1764465344510325,5669395986,0.11811247848247827,824.066612949383,0.4774,0.4191,0.3972,0.9999852696392535,5.966701953613704e-07
typescript,1599,0.16346350439582907,1277674520,0.026618233163420938,789.2003202127913,0.4936,0.409,0.469,0.9998456368890186,3.545687964798531e-06
c,2501,0.255673686362707,12458309169,0.25954824416661837,738.1232695993665,0.2951,0.366,0.0661,0.9999941788420726,6.921421106181521e-07
go,1040,0.1063177264363116,1566375392,0.032632837826100554,699.0037455567667,0.6721,0.4001,0.9189,0.9999553116189324,1.3939485786505153e-06
c#,715,0.07309343692496421,3714810378,0.07739192357025314,384.5344992368983,0.5378,0.443,0.7243,0.999999045001138,4.314205167645247e-06
php,800,0.08178286648947046,1518186081,0.0316288933190264,338.4148854184175,0.423,0.4336,0.2007,0.999985539920419,4.972666414101014e-07
swift,609,0.06225720711510938,240460310,0.005009592425877351,334.8805962687529,0.5499,0.4456,0.8206,0.999669341291297,8.880915120117823e-07
ruby,1772,0.18114904927417705,745876355,0.015539098900142838,334.3847095222774,0.1887,0.3468,0.0091,0.9999916462231182,7.901452809651078e-08
shell,6789,0.6940298507462687,411899206,0.008581237970634299,300.75089120678297,0.0443,0.1424,0.0042,0.999618809802665,4.2219515291132365e-07
objective-c,1115,0.11398487016969945,378996669,0.007895768089358053,263.9745999548011,0.2367,0.3571,0.0206,0.9990108275338759,1.1626925957873538e-06
rust,301,0.03077080351666326,299433859,0.006238208676091396,164.99255364797142,0.5481,0.4458,0.7821,0.9999869936574288,6.459372767221277e-06
kotlin,412,0.04211817624207728,207424827,0.0043213528348113655,130.42216071583408,0.3166,0.38,0.0895,0.9999505158635903,9.242887367098834e-07
scala,239,0.0244326313637293,338867696,0.007059747378917163,93.94274059934529,0.3931,0.4288,0.1148,0.9998742312088791,9.241689355319837e-06
vim script,221,0.022592516867716215,83440868,0.0017383523307502673,58.67041456676812,0.2655,0.3905,0.0048,0.9998360452982676,9.756467437657367e-07
lua,408,0.04170926190962993,121177140,0.0025245250774794366,45.19310100626339,0.1108,0.2412,0.0071,0.9995422297742798,2.2373859884824956e-07
clojure,102,0.010427315477407483,47407294,0.0009876524776739279,43.37332144661283,0.4252,0.4586,0.0941,0.9999310641265825,1.3566161405002345e-06
haskell,99,0.010120629728071968,73359682,0.0015283275119788834,41.17799384764013,0.4159,0.445,0.142,0.999368147220724,5.328336064549595e-06
dart,81,0.008280515232058883,148709113,0.0030981081499218688,36.32766373302767,0.4485,0.4329,0.3211,0.9993358199042088,1.5005353251268446e-05
coffeescript,175,0.01789000204457166,32439421,0.0006758216262028717,35.42671525579034,0.2024,0.3303,0.0222,0.9989916716367958,5.391550049072909e-07
emacs lisp,218,0.0222858311183807,25165284,0.000524277025682336,35.115202630516535,0.1611,0.3363,0.001,0.9999629488914497,9.655238717538155e-07
perl,653,0.06675526477203025,345011027,0.007187733508716537,34.477444301225546,0.0528,0.1547,0.0033,0.9965509118144757,1.062235981246861e-07
powershell,685,0.07002657943160907,91216183,0.0019003381450944745,26.360551278799452,0.0385,0.1344,0.0018,0.9784841089077311,1.8461568809322805e-06
assembly,448,0.04579840523410345,535357021,0.011153277135598227,24.535548518908023,0.0548,0.1524,0.0053,0.9937527889335118,1.8755142034774535e-06
elixir,75,0.007667143733387855,25096868,0.0005228516915995145,24.17281982878264,0.3223,0.4203,0.0352,0.9998179451821323,4.435666752792529e-06
r,164,0.016765487630341445,25873536,0.0005390322834411424,22.239780393931106,0.1356,0.2887,0.0027,0.9982321703700284,1.2373345605314113e-06
groovy,226,0.023103659783275405,97014619,0.002021138958615569,19.40418077569836,0.0859,0.2009,0.0046,0.9998683940070449,2.5242536602309136e-06
ocaml,57,0.00582702923737477,179311211,0.003735652193497112,17.58846217561851,0.3086,0.3968,0.0573,0.9967954115319944,4.1561021303486834e-06
erlang,62,0.00633817215293396,30992177,0.0006456706936818397,16.472423921382525,0.2657,0.4099,0.0165,0.9999756000905321,3.371389468009543e-06
objective-c++,275,0.02811286035575547,39146788,0.0008155585121811844,10.71370680958515,0.039,0.1233,0.0037,0.9044834307992202,4.5486858045451656e-06
vala,21,0.0021468002453485994,9275175,0.00019323291410830733,8.39840156717743,0.3999,0.4664,0.0476,0.9989564646785318,3.05425255341338e-05
f#,71,0.007258229400940503,80983194,0.001687150762160109,7.427155140245082,0.1046,0.2836,0.0019,0.9996682576757726,3.542189493136879e-06
matlab,107,0.010938458392966673,8141607,0.00016961690169022082,6.796361302144236,0.0635,0.1814,0.0025,0.9687088209868504,1.1138517902287813e-06
tsql,125,0.012778572888979758,27049503,0.0005635316088237043,5.576395302374459,0.0446,0.1506,0.0043,0.9988884020363845,1.4820155236767236e-05
julia,34,0.0034757718258024944,5668678,0.00011809752043294616,5.525609298496912,0.1625,0.3559,0.0018,0.9998814638141352,1.3320840161373987e-06
jsonnet,35,0.0035780004089143325,23498278,0.0004895477157538405,5.416078895028174,0.1547,0.2995,0.0073,0.9293644019644567,1.61046932113062e-05
crystal,16,0.001635657329789409,11480703,0.00023918143826957296,4.916583540323749,0.3073,0.4597,0.0104,0.9978803871344828,3.3183400245989235e-05
webassembly,24,0.0024534859946841138,46070706,0.0009598068796984509,3.558180391034553,0.1483,0.2757,0.0089,0.8556138055086975,5.1871579500872234e-05
elm,24,0.0024534859946841138,5377601,0.00011203341307756971,3.111708231432226,0.1297,0.2387,0.0141,0.9638142658638258,2.340915544211019e-05
freemarker,78,0.00797382948272337,8400043,0.00017500098785468613,2.1407802884153013,0.0274,0.0945,0.0022,0.6929773017419415,8.102620954800249e-07
systemverilog,15,0.001533428746677571,26018740,0.0005420573683651661,1.7657896198408318,0.1177,0.2632,0.0077,0.933379833080218,4.759232627213386e-05
coq,12,0.0012267429973420569,16738782,0.0003487248083711284,1.4870621316861086,0.1239,0.2003,0.0025,0.5404280982442474,2.4640873484846906e-06
fortran,50,0.005111429155591904,70602945,0.0014708954609458631,1.444044283161919,0.0289,0.0797,0.0016,0.49129940902354685,3.4566041922905457e-07
dm,2,0.00020445716622367614,24634496,0.0005132189365342908,0.9185108854563443,0.4593,0.6474,0.4593,0.9170319985133593,0.0014788869429850165
smalltalk,85,0.008689429564506235,2188535,4.559450314177623e-05,0.39240029253086867,0.0046,0.0134,0.0004,0.08514690960855825,4.6057653044871674e-09
puppet,12,0.0012267429973420569,145871,3.038980764664052e-06,0.22224602474608982,0.0185,0.055,0.0011,0.19304556354916066,0.00018083042343562287
apex,8,0.0008178286648947046,1065420,2.2196261671534263e-05,0.13854422284822274,0.0173,0.0398,0.0025,0.11553443374406427,6.05644200870402e-05
abap,2,0.00020445716622367614,8638,1.7995842796147336e-07,0.01261755004258831,0.0063,0.0051,0.0063,0.009893284621300121,0.0027242654212881884
